208	139	182
39	89	4
18	-1	53
35	25	28
-1	1	6
22	-1	6
5	4	60
245	-1	249
-1	32	-1
87	44	42
51	-1	17
85	16	59
52	55	61
129	20	-1
-1	80	84
33	79	82
-1	11	80
29	10	42
38	31	2
168	132	106
13	130	44
22	-1	-1
28	21	5
29	88	95
49	123	253
37	-1	3
-1	32	36
73	41	244
3	-1	22
17	130	23
71	76	-1
18	32	-1
26	8	31
15	71	-1
37	53	-1
93	3	60
38	57	26
25	54	34
18	163	36
-1	76	1
160	159	140
43	27	-1
17	-1	9
56	41	61
-1	20	9
96	100	242
96	91	85
129	252	251
-1	148	108
104	241	24
247	239	248
10	95	59
-1	12	-1
2	34	94
93	177	37
67	12	-1
67	107	43
161	36	162
74	131	71
-1	51	11
6	261	35
43	-1	12
134	-1	159
232	112	113
134	137	-1
85	95	100
128	258	158
245	56	55
119	110	96
155	170	212
81	152	154
30	33	58
154	127	221
-1	27	129
82	98	58
76	106	89
75	39	30
117	195	102
149	154	150
-1	84	15
16	91	14
70	151	-1
86	74	15
-1	149	126
97	79	14
11	65	46
82	97	102
-1	9	-1
251	99	23
261	1	75
259	115	120
103	80	46
155	-1	169
262	54	35
135	163	53
23	65	51
68	46	45
84	118	86
185	74	102
243	235	88
235	45	65
236	111	242
77	98	86
118	91	110
110	49	112
196	138	193
75	131	19
247	244	56
249	48	246
145	-1	126
104	103	68
238	101	259
117	104	63
256	63	253
197	210	218
246	173	90
141	121	144
118	112	77
117	97	103
68	242	241
123	90	147
122	116	-1
125	121	143
24	238	120
146	255	257
258	257	122
83	150	109
72	152	153
176	216	66
13	73	47
251	29	20
58	183	106
262	261	19
183	171	181
160	64	62
94	177	179
167	168	182
64	172	199
105	190	171
164	0	140
40	162	139
116	148	-1
259	237	260
-1	158	122
257	174	116
109	176	175
256	124	214
120	174	255
48	141	173
83	151	78
203	126	78
149	-1	81
127	70	-1
-1	202	127
70	72	78
69	211	92
157	233	204
218	156	225
66	143	175
62	161	40
207	134	40
159	-1	57
178	140	57
94	178	38
179	180	139
191	184	192
169	206	170
136	180	262
19	181	136
92	199	166
166	204	69
133	138	184
220	137	219
174	115	148
144	147	173
158	-1	145
215	128	145
54	180	135
179	162	163
164	178	135
164	177	167
191	168	133
191	0	136
131	193	133
187	165	171
193	98	195
231	196	195
184	205	200
219	192	200
232	254	228
205	138	194
182	181	165
188	208	165
185	105	183
196	209	190
185	77	186
105	186	194
114	229	213
206	205	201
169	-1	137
220	188	187
198	227	204
153	211	222
150	217	215
170	201	156
187	190	198
198	166	220
208	219	160
207	0	192
194	230	227
114	216	215
202	-1	155
69	233	222
216	197	226
226	146	258
176	203	210
210	213	128
203	221	223
157	114	223
207	188	172
172	200	206
224	217	72
212	224	202
234	218	217
222	234	221
229	157	227
213	254	214
225	201	209
229	230	189
228	197	225
231	228	209
232	230	186
63	189	231
234	212	156
233	223	224
236	100	99
235	237	101
239	142	236
241	111	123
237	243	50
247	250	260
238	49	119
119	45	101
239	99	252
27	107	248
7	250	67
108	115	260
107	240	50
50	252	244
250	7	108
249	240	245
88	130	47
47	248	243
24	255	113
226	189	256
253	147	124
113	146	254
124	144	125
125	66	214
90	111	142
142	240	246
60	89	132
132	167	93
