263
109	121	93
57	9	63
16	58	17
14	50	66
57	10	9
10	50	11
57	50	10
22	150	21
36	18	48
47	46	31
1	53	2
3	54	61
52	49	20
32	33	90
60	5	4
64	62	6
61	4	3
1	47	53
17	58	51
91	92	65
47	32	90
12	11	13
11	50	13
75	53	55
87	80	85
14	66	15
51	37	36
59	69	34
13	50	14
55	53	47
8	7	56
48	17	51
48	51	36
7	6	62
16	15	72
50	156	66
37	51	67
72	15	66
67	51	58
63	9	8
106	93	105
34	35	59
46	47	1
35	52	59
47	31	32
143	70	73
61	73	76
151	90	69
96	22	23
85	80	81
147	149	145
54	2	53
49	19	20
72	58	16
72	66	95
20	21	52
59	52	68
67	106	37
56	62	78
54	3	2
156	50	57
49	52	35
38	105	39
80	152	82
40	39	108
75	73	54
98	113	132
52	21	68
76	70	81
126	131	110
102	101	45
62	56	7
103	89	102
69	33	34
78	62	74
91	63	56
8	56	63
71	77	82
89	100	101
64	6	5
60	4	61
30	45	101
62	64	74
100	28	29
5	60	64
73	61	54
77	74	64
46	0	31
75	55	151
63	91	57
112	83	155
61	76	60
41	110	42
66	156	95
58	72	114
54	53	75
73	70	76
77	64	60
74	71	78
75	151	79
73	75	143
146	143	144
74	77	71
76	84	60
80	84	81
118	123	122
92	91	56
59	68	149
96	148	22
28	104	27
76	81	84
144	83	146
80	82	84
80	153	152
134	138	127
112	155	96
97	99	24
82	77	84
60	84	77
146	81	70
112	87	83
24	25	97
25	98	97
83	87	85
86	154	153
97	98	154
104	28	100
44	103	102
132	113	133
69	90	33
47	90	55
92	56	78
91	65	156
117	92	118
39	105	108
115	114	72
116	109	65
125	40	108
111	118	122
93	107	109
107	93	106
23	24	99
145	155	144
98	25	26
99	97	86
113	27	104
154	88	153
86	87	112
99	96	23
101	100	29
100	89	104
30	101	29
45	44	102
103	44	43
89	101	102
42	110	131
126	130	137
130	138	137
26	113	98
106	105	38
105	93	108
37	106	38
106	67	107
67	58	114
109	107	115
119	121	117
94	110	125
95	65	109
116	65	92
125	110	41
126	110	94
111	117	118
108	135	125
96	99	112
112	99	86
27	113	26
113	104	133
115	72	95
67	114	107
114	115	107
95	109	115
92	117	116
109	116	121
118	92	78
117	111	119
71	123	78
123	82	120
128	119	111
119	135	129
140	141	152
122	124	111
117	121	116
121	119	129
118	78	123
124	122	120
82	123	71
120	122	123
140	127	138
124	94	128
40	125	41
119	128	135
130	94	124
131	103	43
134	104	89
130	126	94
124	128	111
125	128	94
108	93	129
121	129	93
139	124	120
133	134	127
42	131	43
142	131	126
140	132	127
154	132	88
134	133	104
132	133	127
136	134	89
134	137	138
135	108	129
128	125	135
89	103	136
103	131	142
134	136	137
136	103	142
130	139	138
88	132	140
124	139	130
141	140	139
138	139	140
139	120	141
120	82	141
141	82	152
126	137	142
136	142	137
75	79	143
144	143	79
144	79	145
83	85	146
147	145	79
148	145	68
81	146	85
143	146	70
151	147	79
149	69	59
68	21	150
155	148	96
145	149	68
69	149	147
22	148	150
68	150	148
90	151	55
147	151	69
153	80	87
152	88	140
86	153	87
88	152	153
97	154	86
132	154	98
144	155	83
148	155	145
91	156	57
95	156	65
