195
109	86	100
18	17	54
19	44	55
18	54	44
16	15	59
101	71	86
97	106	83
44	54	89
21	56	22
22	45	23
98	84	57
21	68	56
11	47	61
18	44	19
55	20	19
31	50	64
113	117	33
56	68	83
0	73	1
107	108	85
15	14	46
118	35	99
70	78	85
12	70	13
58	46	14
75	8	67
53	87	38
59	15	46
48	84	41
24	57	69
60	10	9
11	10	47
47	10	60
7	67	8
23	45	57
47	60	90
71	16	59
70	85	58
4	3	65
114	118	42
65	74	81
16	71	17
24	23	57
84	69	57
0	64	73
26	25	48
48	62	26
76	83	68
26	62	27
11	61	12
92	110	63
125	91	36
29	49	63
49	29	28
24	69	25
50	30	63
30	29	63
104	75	88
50	31	30
68	21	20
92	63	49
105	72	62
4	51	5
103	52	111
7	6	52
56	45	22
66	52	6
67	7	52
111	66	93
55	94	76
58	14	13
121	117	113
64	0	31
2	1	53
65	81	96
74	65	3
48	41	122
65	51	4
73	64	87
72	27	62
6	5	66
13	70	58
27	72	28
48	122	62
102	87	64
78	61	95
74	3	2
53	81	74
5	51	66
66	51	93
112	88	103
8	75	9
20	55	68
68	55	76
98	57	45
48	25	69
12	61	70
95	61	47
59	100	86
54	17	71
105	62	122
49	28	72
102	64	50
53	1	73
2	53	74
81	53	38
67	103	88
60	9	75
55	44	94
40	97	121
78	107	85
77	98	106
70	61	78
38	119	81
59	86	71
102	50	110
116	120	93
97	83	76
67	88	75
45	56	83
41	84	77
48	69	84
118	107	78
46	58	85
100	59	46
79	33	89
38	87	80
53	73	87
103	67	52
82	42	90
71	101	54
79	89	86
75	104	60
82	90	88
125	36	124
123	125	105
105	49	72
37	80	110
65	96	51
116	93	51
44	89	94
117	89	33
47	90	95
118	90	42
38	39	119
51	96	116
76	117	97
106	98	45
83	106	45
77	84	98
108	100	46
107	118	99
86	109	79
86	89	101
89	54	101
50	63	110
80	87	102
52	66	111
88	112	82
88	90	104
90	60	104
41	123	122
92	49	105
97	40	106
77	106	40
99	34	107
34	109	108
85	108	46
107	34	108
37	110	92
108	109	100
80	102	110
93	43	111
112	111	43
120	43	93
111	112	103
94	117	76
95	118	78
119	115	120
119	96	81
116	96	119
117	94	89
113	32	121
118	95	90
118	114	35
119	120	116
39	115	119
43	120	115
91	125	123
117	121	97
123	41	91
105	122	123
92	125	37
105	125	92
125	124	37
