30 31 32
33 34 35
36 37 38
39 40 41
38 42 43
44 45 46
47 48 49
32 50 51
36 52 53
54 48 55
56 37 57
53 58 59
60 61 43
62 63 58
64 65 66
61 67 68
69 70 71
72 73 64
74 73 75
67 76 34
77 78 79
33 80 81
82 83 84
39 85 51
52 68 86
87 88 44
89 90 60
45 40 91
76 90 74
92 56 91
81 62 86
93 94 95
96 46 57
96 59 95
35 75 70
83 97 69
79 80 98
87 94 47
93 99 100
99 63 78
92 50 42
89 31 65
101 82 102
101 98 97
18 32 31
4 30 32
5 31 30
13 35 34
23 33 35
20 34 33
14 38 37
11 36 38
16 37 36
3 41 40
17 39 41
26 40 39
18 43 42
11 38 43
14 42 38
15 46 45
22 44 46
3 45 44
28 49 48
2 47 49
1 48 47
26 51 50
4 32 51
18 50 32
10 53 52
16 36 53
11 52 36
1 55 48
9 54 55
28 48 54
16 57 37
15 56 57
14 37 56
21 59 58
16 53 59
10 58 53
11 43 61
18 60 43
12 61 60
21 58 63
10 62 58
24 63 62
5 66 65
19 64 66
27 65 64
20 68 67
11 61 68
12 67 61
6 71 70
7 69 71
23 70 69
27 64 73
19 72 64
6 73 72
6 75 73
13 74 75
27 73 74
13 34 76
20 67 34
12 76 67
24 79 78
0 77 79
25 78 77
24 81 80
20 33 81
23 80 33
7 84 83
8 82 84
29 83 82
4 51 85
26 39 51
17 85 39
20 86 68
10 52 86
11 68 52
3 44 88
22 87 44
2 88 87
12 60 90
18 89 60
27 90 89
26 91 40
15 45 91
3 40 45
27 74 90
13 76 74
12 90 76
15 91 56
26 92 91
14 56 92
10 86 62
20 81 86
24 62 81
22 95 94
21 93 95
1 94 93
15 57 46
16 96 57
22 46 96
21 95 59
22 96 95
16 59 96
6 70 75
23 35 70
13 75 35
23 69 97
7 83 69
29 97 83
23 98 80
0 79 98
24 80 79
1 47 94
2 87 47
22 94 87
25 100 99
1 93 100
21 99 93
24 78 63
25 99 78
21 63 99
18 42 50
14 92 42
26 50 92
5 65 31
27 89 65
18 31 89
8 102 82
0 101 102
29 82 101
23 97 98
29 101 97
0 98 101
